userName,content,score,date,thumbsUpCount
U35596,aplikasi ini sangat bagus dan mudah digunakan,4,2022-05-04T14:20:00,5
U89573,tidak istimewa,3,2022-11-08T00:25:00,4
U67293,sangat mengecewakan dan susah dipakai,2,2022-08-22T15:45:00,0
U19883,aplikasi lancar,5,2022-03-11T00:55:00,12
U59296,tidak lancar,2,2022-07-25T21:20:00,7
U61958,aplikasi buruk,2,2022-08-04T03:10:00,14
U67754,kurang keren,2,2022-08-24T06:10:00,24
U50230,buruk banget,2,2022-06-24T09:50:00,15
U49503,saya sangat kecewa dengan aplikasi ini,1,2022-06-21T21:15:00,11
U33540,gak error,5,2022-04-27T11:00:00,9
U56322,lemot sekali,1,2022-07-15T13:30:00,4
U89013,biasa aja,3,2022-11-06T01:45:00,0
U69056,selalu gagal,2,2022-08-28T18:40:00,13
U22680,aplikasi hebat,4,2022-03-20T18:00:00,7
U16116,recommended,5,2022-02-25T23:00:00,10
U18174,tampilannya bagus fiturnya lengkap,5,2022-03-05T02:30:00,12
U94905,aplikasi cukup oke,3,2022-11-26T12:45:00,3
U26753,oke banget lancar dan cepat,5,2022-04-03T21:25:00,4
U96146,ya begitulah biasa aja,3,2022-11-30T20:10:00,4
U67901,sering macet,2,2022-08-24T18:25:00,5
U79490,aplikasi parah,1,2022-10-04T00:10:00,7
U62886,tidak keren,2,2022-08-07T08:30:00,8
U84514,standar lah,3,2022-10-21T10:50:00,2
U15271,aplikasi sempurna,4,2022-02-23T00:35:00,0
U52212,sering error,1,2022-07-01T07:00:00,0
U75170,aplikasi yang jelek,2,2022-09-19T00:10:00,0
U79199,error,1,2022-10-02T23:55:00,13
U38215,pelayanan memuaskan,4,2022-05-13T16:35:00,1
U96778,fitur standar,3,2022-12-03T00:50:00,2
U98992,aplikasi cukup oke,3,2022-12-10T17:20:00,3
U17449,sempurna,4,2022-03-02T14:05:00,9
U5988,keren banget,4,2022-01-21T19:00:00,4
U59544,macet,2,2022-07-26T18:00:00,15
U80488,lumayan lah,3,2022-10-07T11:20:00,0
U89439,ada kelebihan ada kekurangan,3,2022-11-07T13:15:00,5
U23661,sangat suka,4,2022-03-24T03:45:00,14
U28417,bagus banget aplikasinya lancar,5,2022-04-09T16:05:00,8
U67771,sampah,2,2022-08-24T07:35:00,6
U7232,sama sekali tidak buruk,4,2022-01-26T02:40:00,15
U57671,tampilannya buruk,1,2022-07-20T05:55:00,2
U27230,bintang lima untuk aplikasi ini,5,2022-04-05T13:10:00,12
U91005,bagus tapi sering lemot,3,2022-11-12T23:45:00,0
U17685,aplikasi terbaik yang pernah saya pakai,4,2022-03-03T09:45:00,10
U741,sangat berguna membantu sekali,5,2022-01-03T13:45:00,0
U57037,susah banget,2,2022-07-18T01:05:00,14
U85787,tidak jelek tapi tidak bagus juga,3,2022-10-25T20:55:00,3
U49186,fitur jelek,2,2022-06-20T18:50:00,2
U6817,sangat mantap,5,2022-01-24T16:05:00,8
U76666,buang waktu aplikasinya sampah,2,2022-09-24T04:50:00,3
U91439,ya begitulah biasa aja,3,2022-11-14T11:55:00,5
U38204,aplikasi terbaik yang pernah saya pakai,5,2022-05-13T15:40:00,9
U42577,lambat banget,1,2022-05-28T20:05:00,20
U64021,aplikasi lemot,1,2022-08-11T07:05:00,11
U32529,tampilannya bagus fiturnya lengkap,4,2022-04-23T22:45:00,0
U20515,oke,4,2022-03-13T05:35:00,0
U19382,saya sangat puas dengan aplikasi ini,5,2022-03-09T07:10:00,13
U24142,aplikasi bagus banget,4,2022-03-25T19:50:00,14
U20717,sangat memuaskan,5,2022-03-13T22:25:00,7
U3254,top,4,2022-01-12T07:10:00,14
U7530,cepat,4,2022-01-27T03:30:00,11
U13643,saya suka aplikasi ini bagus,5,2022-02-17T08:55:00,5
U53464,lambat banget,1,2022-07-05T15:20:00,14
U33501,pelayanan memuaskan,4,2022-04-27T07:45:00,7
U63634,susah banget,2,2022-08-09T22:50:00,5
U4419,sempurna,4,2022-01-16T08:15:00,15
U5338,aplikasi ini bagus,4,2022-01-19T12:50:00,1
U58994,tampilannya jelek fiturnya kurang,2,2022-07-24T20:10:00,9
U98739,ya begitulah biasa aja,3,2022-12-09T20:15:00,2
U54753,hancur,1,2022-07-10T02:45:00,21
U16993,luar biasa aplikasinya mantap sekali,4,2022-03-01T00:05:00,3
U13210,aplikasi sangat bagus,5,2022-02-15T20:50:00,1
U27537,bagus,4,2022-04-06T14:45:00,15
U50173,lemot,2,2022-06-24T05:05:00,21
U3656,sangat membantu dan mudah dipakai,5,2022-01-13T16:40:00,3
U99037,cukup lah,3,2022-12-10T21:05:00,3
U16590,luar biasa,4,2022-02-27T14:30:00,6
U78402,kurang memuaskan,1,2022-09-30T05:30:00,23
U39234,gak error,5,2022-05-17T05:30:00,1
U16390,saya sangat puas dengan aplikasi ini,4,2022-02-26T21:50:00,12
U7461,aplikasi lancar,4,2022-01-26T21:45:00,3
U45364,gak oke,2,2022-06-07T12:20:00,14
U18648,sangat memuaskan,4,2022-03-06T18:00:00,12
U8140,cepat,5,2022-01-29T06:20:00,12
U59520,kurang sempurna,1,2022-07-26T16:00:00,18
U10879,suka banget,5,2022-02-07T18:35:00,15
U74843,jelek,2,2022-09-17T20:55:00,8
U53821,aplikasi ini sangat jelek dan lambat,1,2022-07-06T21:05:00,5
U89727,tidak ada yang istimewa dari aplikasi ini,3,2022-11-08T13:15:00,5
U4413,sangat luar biasa,4,2022-01-16T07:45:00,7
U12944,sangat oke,5,2022-02-14T22:40:00,2
U59526,sering macet,2,2022-07-26T16:30:00,23
U38378,keren banget,5,2022-05-14T06:10:00,1
U83211,b aja,3,2022-10-16T22:15:00,4
U89245,aplikasi lumayan,3,2022-11-06T21:05:00,1
U8932,lancar banget,5,2022-02-01T00:20:00,13
U14362,transfer cepat dan mudah,4,2022-02-19T20:50:00,0
U5255,puas,5,2022-01-19T05:55:00,11
U4421,sempurna sekali,5,2022-01-16T08:25:00,6
U63908,lambat,1,2022-08-10T21:40:00,18
U32930,tidak lambat,4,2022-04-25T08:10:00,6
U82463,b aja,3,2022-10-14T07:55:00,0
U5615,aplikasi sangat bagus,4,2022-01-20T11:55:00,13
U78998,gak oke,1,2022-10-02T07:10:00,23
U92186,kurang memuaskan tapi masih bisa dipakai,3,2022-11-17T02:10:00,4
U39982,luar biasa aplikasinya mantap sekali,5,2022-05-19T19:50:00,11
U88011,standar seperti aplikasi lainnya,3,2022-11-02T14:15:00,0
U34513,lancar banget,4,2022-04-30T20:05:00,7
U40406,buruk sekali sering macet,2,2022-05-21T07:10:00,14
U58452,saya benci aplikasi ini jelek,1,2022-07-22T23:00:00,25
U25863,pelayanan bagus,5,2022-03-31T19:15:00,1
U99326,tidak bagus namun lancar di pake,3,2022-12-11T21:10:00,4
U18307,keren sekali,4,2022-03-05T13:35:00,2
U16614,fitur lengkap,4,2022-02-27T16:30:00,11
U95271,aplikasi lumayan,3,2022-11-27T19:15:00,1
U70823,sering error,2,2022-09-03T21:55:00,19
U1668,pelayanan memuaskan,5,2022-01-06T19:00:00,6
U19146,gak jelek,4,2022-03-08T11:30:00,8
U34670,tidak buruk,4,2022-05-01T09:10:00,8
U23526,hebat,4,2022-03-23T16:30:00,11
U5355,fitur lengkap,5,2022-01-19T14:15:00,15
U70943,sangat susah,1,2022-09-04T07:55:00,19
U8630,sangat oke,5,2022-01-30T23:10:00,14
U45056,aplikasi jelek,1,2022-06-06T10:40:00,16
U84024,bagus tapi kurang fitur,3,2022-10-19T18:00:00,5
U40133,sangat parah,2,2022-05-20T08:25:00,23
U37366,sangat cepat,4,2022-05-10T17:50:00,1
U64102,aplikasi buruk,2,2022-08-11T13:50:00,13
U40225,saya benci aplikasi ini jelek,2,2022-05-20T16:05:00,11
U60495,jangan download aplikasinya jelek,1,2022-07-30T01:15:00,9
U80570,fitur lumayan,3,2022-10-07T18:10:00,3
U91612,aplikasi ini biasa aja,3,2022-11-15T02:20:00,4
U54672,tidak recommended,1,2022-07-09T20:00:00,21
U32350,keren abis fiturnya lengkap,4,2022-04-23T07:50:00,4
U59645,selalu error sangat lambat,2,2022-07-27T02:25:00,17
U9916,aplikasi yang bagus,4,2022-02-04T10:20:00,4
U63219,hancur,1,2022-08-08T12:15:00,12
U10737,yang terbaik,5,2022-02-07T06:45:00,9
U84867,mantap tapi kadang error,3,2022-10-22T16:15:00,0
U94206,aplikasi cukup oke,3,2022-11-24T02:30:00,4
U53953,ribet banget,2,2022-07-07T08:05:00,19
U74991,aplikasi yang jelek,2,2022-09-18T09:15:00,11
U74725,ribet,2,2022-09-17T11:05:00,9
U42526,selalu macet,2,2022-05-28T15:50:00,10
U30746,sangat puas,5,2022-04-17T18:10:00,3
U90157,tidak bagus namun lancar di pake,3,2022-11-10T01:05:00,3
U88608,tidak ada yang istimewa dari aplikasi ini,3,2022-11-04T16:00:00,2
U23713,tidak lemot,4,2022-03-24T08:05:00,5
U7234,fitur lengkap,4,2022-01-26T02:50:00,11
U5567,memuaskan,4,2022-01-20T07:55:00,10
U32602,gak lemot,4,2022-04-24T04:50:00,3
U78669,lambat sekali,1,2022-10-01T03:45:00,15
U63500,susah digunakan dan sering error,1,2022-08-09T11:40:00,17
U51656,sering macet,2,2022-06-29T08:40:00,11
U39272,lancar,4,2022-05-17T08:40:00,6
U73061,tidak bagus,2,2022-09-11T16:25:00,17
U49940,tidak bagus,1,2022-06-23T09:40:00,19
U20565,bagus banget,4,2022-03-13T09:45:00,9
U69020,lemot sekali,1,2022-08-28T15:40:00,23
U49252,kurang hebat,2,2022-06-21T00:20:00,21
U9943,aplikasi yang bagus,4,2022-02-04T12:35:00,11
U2964,yang terbaik,5,2022-01-11T07:00:00,12
U25043,sangat memuaskan,4,2022-03-28T22:55:00,6
U73253,payah aplikasinya lemot banget,2,2022-09-12T08:25:00,17
U71758,lemot banget,1,2022-09-07T03:50:00,5
U47735,lemot,1,2022-06-15T17:55:00,24
U62934,bintang satu untuk aplikasi ini,1,2022-08-07T12:30:00,18
U90053,cukup,3,2022-11-09T16:25:00,5
U15987,mudah banget,4,2022-02-25T12:15:00,14
U4402,tidak mengecewakan,4,2022-01-16T06:50:00,11
U49663,tidak oke,2,2022-06-22T10:35:00,18
U91440,sering error tapi fiturnya bagus,3,2022-11-14T12:00:00,3
U74542,pelayanan lambat,1,2022-09-16T19:50:00,2
U43180,tidak keren,1,2022-05-30T22:20:00,5
U14163,tampilannya keren,5,2022-02-19T04:15:00,9
U68941,sangat hancur,2,2022-08-28T09:05:00,3
U84497,cukup oke,3,2022-10-21T09:25:00,3
U87847,tidak ada yang istimewa dari aplikasi ini,3,2022-11-02T00:35:00,1
U43799,kecewa pakai aplikasi ini payah,1,2022-06-02T01:55:00,15
U84485,aplikasi ini biasa saja tidak ada yang spesial,3,2022-10-21T08:25:00,0
U3633,saya sangat puas dengan aplikasi ini,4,2022-01-13T14:45:00,9
U39183,cepat,5,2022-05-17T01:15:00,6
U45684,kurang memuaskan,1,2022-06-08T15:00:00,10
U16904,aplikasi memuaskan,4,2022-02-28T16:40:00,1
U64835,selalu error sangat lambat,2,2022-08-14T02:55:00,18
U70912,sangat hancur,2,2022-09-04T05:20:00,19
U84535,jelek tapi masih bisa dipakai,3,2022-10-21T12:35:00,5
U33632,tidak lambat,5,2022-04-27T18:40:00,10
U18526,aplikasi memuaskan,5,2022-03-06T07:50:00,15
U68739,kurang memuaskan,2,2022-08-27T16:15:00,24
U96201,fitur lengkap tapi lambat,3,2022-12-01T00:45:00,3
U20177,keren abis fiturnya lengkap,4,2022-03-12T01:25:00,8
U73929,pelayanan buruk,2,2022-09-14T16:45:00,7
U67459,sering error,1,2022-08-23T05:35:00,3
U14635,tidak pernah error sangat lancar,4,2022-02-20T19:35:00,1
U1577,aplikasi terbaik,4,2022-01-06T11:25:00,8
U80161,standar seperti aplikasi lainnya,3,2022-10-06T08:05:00,5
U95238,mudah dipakai tapi sering crash,3,2022-11-27T16:30:00,2
U85831,sering error tapi fiturnya bagus,3,2022-10-26T00:35:00,0
U63842,kurang lancar,2,2022-08-10T16:10:00,9
U20067,tampilannya bagus fiturnya lengkap,5,2022-03-11T16:15:00,13
U6485,mantap banget,4,2022-01-23T12:25:00,11
U56182,aplikasi ini buruk,2,2022-07-15T01:50:00,13
U16375,gak ribet,4,2022-02-26T20:35:00,0
U87754,biasa,3,2022-11-01T16:50:00,5
U36143,oke banget,4,2022-05-06T11:55:00,13
U14970,puas banget,5,2022-02-21T23:30:00,13
U87073,aplikasi biasa saja,3,2022-10-30T08:05:00,1
U69851,tidak keren,1,2022-08-31T12:55:00,10
U66441,bintang satu untuk aplikasi ini,1,2022-08-19T16:45:00,7
U51816,sangat buruk,1,2022-06-29T22:00:00,9
U19060,lancar,4,2022-03-08T04:20:00,3
U21825,sangat suka,4,2022-03-17T18:45:00,5
U22046,aplikasi sempurna,5,2022-03-18T13:10:00,12
U71125,tidak puas,2,2022-09-04T23:05:00,1
U6983,sangat mantap,4,2022-01-25T05:55:00,3
U82666,tidak keren tapi lancar,3,2022-10-15T00:50:00,4
U45019,ribet,2,2022-06-06T07:35:00,8
U27946,sangat cepat,5,2022-04-08T00:50:00,3
U94268,cukup,3,2022-11-24T07:40:00,2
U92799,oke lah,3,2022-11-19T05:15:00,2
U72097,aplikasi lemot,2,2022-09-08T08:05:00,7
U44845,buruk sekali sering macet,2,2022-06-05T17:05:00,14
U58433,aplikasi yang jelek,1,2022-07-22T21:25:00,15
U99834,mudah dipakai tapi sering crash,3,2022-12-13T15:30:00,3
U7650,fitur keren,5,2022-01-27T13:30:00,8
U76590,selalu error sangat lambat,2,2022-09-23T22:30:00,19
U74219,tidak oke,1,2022-09-15T16:55:00,18
U67062,sangat lambat,1,2022-08-21T20:30:00,2
U79063,jelek banget,2,2022-10-02T12:35:00,23
U26364,sangat puas,4,2022-04-02T13:00:00,12
U77461,selalu gagal,2,2022-09-26T23:05:00,2
U74936,sangat hancur,1,2022-09-18T04:40:00,19
U30665,puas banget,4,2022-04-17T11:25:00,3
U11927,tidak pernah error,5,2022-02-11T09:55:00,11
U68668,aplikasi ini sangat jelek dan lambat,1,2022-08-27T10:20:00,1
U56623,gak keren,1,2022-07-16T14:35:00,8
U22058,pelayanan cepat,4,2022-03-18T14:10:00,6
U72826,kurang mantap,2,2022-09-10T20:50:00,1
U3637,transfer cepat dan mudah,4,2022-01-13T15:05:00,2
U30690,memuaskan,5,2022-04-17T13:30:00,3
U28490,mantap,5,2022-04-09T22:10:00,6
U83144,lumayan,3,2022-10-16T16:40:00,5
U322,suka,5,2022-01-02T02:50:00,10
U43813,buruk sekali sering macet,2,2022-06-02T03:05:00,15
U99703,bagus sih tapi kadang error,3,2022-12-13T04:35:00,5
U47350,aplikasi lemot,1,2022-06-14T09:50:00,2
U88433,tidak jelek tapi tidak bagus juga,3,2022-11-04T01:25:00,4
U94720,lumayan lah untuk ukuran aplikasi gratis,3,2022-11-25T21:20:00,4
U49590,kurang puas,1,2022-06-22T04:30:00,19
U25362,saya suka aplikasi ini bagus,4,2022-03-30T01:30:00,10
U3539,yang terbaik,5,2022-01-13T06:55:00,13
U22180,bagus banget,4,2022-03-19T00:20:00,14
U23896,keren banget,4,2022-03-24T23:20:00,11
U42428,parah,1,2022-05-28T07:40:00,10
U68400,sangat ribet,2,2022-08-26T12:00:00,1
U64097,tidak hebat,2,2022-08-11T13:25:00,3
U14677,terbaik,5,2022-02-20T23:05:00,9
U90477,aplikasi ini biasa saja tidak ada yang spesial,3,2022-11-11T03:45:00,4
U97867,b aja,3,2022-12-06T19:35:00,1
U10213,sangat mudah,4,2022-02-05T11:05:00,9
U76792,tidak lancar,1,2022-09-24T15:20:00,22
U16089,bagus sekali,5,2022-02-25T20:45:00,6
U6293,sangat bagus,5,2022-01-22T20:25:00,4
U88210,ya gitu deh,3,2022-11-03T06:50:00,2
U58512,aplikasi error,2,2022-07-23T04:00:00,8
U7141,keren banget,5,2022-01-25T19:05:00,12
U69540,lambat,1,2022-08-30T11:00:00,10
U81574,tidak ada yang istimewa dari aplikasi ini,3,2022-10-11T05:50:00,2
U78724,tidak lancar,2,2022-10-01T08:20:00,7
U35686,keren abis fiturnya lengkap,4,2022-05-04T21:50:00,9
U26085,sangat hebat,5,2022-04-01T13:45:00,15
U76518,aplikasi ini buruk,1,2022-09-23T16:30:00,2
U31853,tidak lambat,4,2022-04-21T14:25:00,3
U58159,parah aplikasinya payah sekali,2,2022-07-21T22:35:00,15
U5806,suka banget,5,2022-01-21T03:50:00,2
U6217,tidak pernah error,4,2022-01-22T14:05:00,13
U33705,memuaskan,5,2022-04-28T00:45:00,12
U50772,lemot sekali,2,2022-06-26T07:00:00,4
U49771,kecewa banget,2,2022-06-22T19:35:00,12
U94596,sedang,3,2022-11-25T11:00:00,0
U34063,aplikasi ini keren,5,2022-04-29T06:35:00,0
U22963,fitur bagus,5,2022-03-21T17:35:00,7
U64959,payah aplikasinya lemot banget,1,2022-08-14T13:15:00,13
U66224,sangat mengecewakan bikin emosi,1,2022-08-18T22:40:00,10
U85909,ada kelebihan ada kekurangan,3,2022-10-26T07:05:00,1
U65320,sangat ribet,2,2022-08-15T19:20:00,19
U99279,biasa saja,3,2022-12-11T17:15:00,2
U77970,sangat susah,2,2022-09-28T17:30:00,21
U85998,bagus sih tapi kadang error,3,2022-10-26T14:30:00,4
U17017,sangat bagus,5,2022-03-01T02:05:00,6
U12280,aplikasi ini keren,5,2022-02-12T15:20:00,12
U10475,top banget,5,2022-02-06T08:55:00,6
U98914,cukup,3,2022-12-10T10:50:00,2
U98706,biasa,3,2022-12-09T17:30:00,3
U83155,keren tapi lambat,3,2022-10-16T17:35:00,1
U61038,kurang oke,2,2022-07-31T22:30:00,0
U59147,hancur,2,2022-07-25T08:55:00,10
U10379,bagus banget,5,2022-02-06T00:55:00,8
U29833,top deh pokoknya bagus,5,2022-04-14T14:05:00,14
U13071,memuaskan,4,2022-02-15T09:15:00,0
U15082,puas,4,2022-02-22T08:50:00,15
U74823,parah banget,2,2022-09-17T19:15:00,8
U15571,oke banget lancar dan cepat,5,2022-02-24T01:35:00,0
U46284,aplikasi sampah,1,2022-06-10T17:00:00,0
U42465,lemot banget,2,2022-05-28T10:45:00,15
U82001,lumayan lah,3,2022-10-12T17:25:00,5
U3278,gak jelek,5,2022-01-12T09:10:00,12
U94278,biasa,3,2022-11-24T08:30:00,1
U59467,sangat susah,2,2022-07-26T11:35:00,20
U89806,aplikasi lumayan,3,2022-11-08T19:50:00,3
U75186,sangat kecewa,1,2022-09-19T01:30:00,5
U19255,aplikasi yang bagus,5,2022-03-08T20:35:00,4
U10510,puas banget,5,2022-02-06T11:50:00,14
U55411,aplikasi error,2,2022-07-12T09:35:00,2
U27562,bagus sekali,4,2022-04-06T16:50:00,2
U43254,hancur,2,2022-05-31T04:30:00,18
U54621,tampilannya jelek fiturnya kurang,1,2022-07-09T15:45:00,5
U19526,lancar,4,2022-03-09T19:10:00,7
U50523,sampah sekali,2,2022-06-25T10:15:00,19
U15988,top banget,4,2022-02-25T12:20:00,7
U27067,sempurna,4,2022-04-04T23:35:00,9
U16822,sangat suka,5,2022-02-28T09:50:00,1
U73054,aplikasi lemot,2,2022-09-11T15:50:00,15
U4122,suka banget,4,2022-01-15T07:30:00,6
U74118,jelek,2,2022-09-15T08:30:00,18
U37341,sempurna sekali,5,2022-05-10T15:45:00,7
U83913,lumayan,3,2022-10-19T08:45:00,0
U25748,suka,5,2022-03-31T09:40:00,1
U48121,selalu macet,2,2022-06-17T02:05:00,25
U86710,standar,3,2022-10-29T01:50:00,5
U41962,pelayanan lambat,1,2022-05-26T16:50:00,4
U90219,fitur lumayan,3,2022-11-10T06:15:00,4
U7827,tidak mengecewakan,4,2022-01-28T04:15:00,9
U89271,sering error tapi fiturnya bagus,3,2022-11-06T23:15:00,5
U9350,gak jelek,5,2022-02-02T11:10:00,3
U75085,tidak lancar,2,2022-09-18T17:05:00,23
U25552,rekomendasi banget aplikasinya bagus,4,2022-03-30T17:20:00,3
U31458,tampilannya mantap,4,2022-04-20T05:30:00,10
U56194,tidak recommended,2,2022-07-15T02:50:00,5
U79109,aplikasi payah,1,2022-10-02T16:25:00,10
U32592,bagus dan cepat saya suka,5,2022-04-24T04:00:00,2
U28619,terbaik,5,2022-04-10T08:55:00,13
U86386,aplikasi standar,3,2022-10-27T22:50:00,4
U66287,payah,1,2022-08-19T03:55:00,23
U64653,tidak recommended,1,2022-08-13T11:45:00,17
U28324,keren abis fiturnya lengkap,5,2022-04-09T08:20:00,14
U23973,sangat berguna membantu sekali,5,2022-03-25T05:45:00,5
U3856,keren abis fiturnya lengkap,4,2022-01-14T09:20:00,15
U37618,aplikasi memuaskan,5,2022-05-11T14:50:00,1
U24320,keren abis fiturnya lengkap,4,2022-03-26T10:40:00,6
U67150,selalu error,2,2022-08-22T03:50:00,14
U18666,top deh pokoknya bagus,5,2022-03-06T19:30:00,9
U57741,kecewa pakai aplikasi ini payah,2,2022-07-20T11:45:00,11
U79438,sangat buruk,2,2022-10-03T19:50:00,4
U59670,aplikasi ini jelek,1,2022-07-27T04:30:00,18
U45202,tampilannya jelek fiturnya kurang,1,2022-06-06T22:50:00,7
U13445,aplikasi ini bagus,5,2022-02-16T16:25:00,13
U15816,pelayanan cepat,5,2022-02-24T22:00:00,3
U74609,lemot,2,2022-09-17T01:25:00,0
U33112,tampilannya bagus,4,2022-04-25T23:20:00,0
U56797,jelek banget aplikasinya error terus,2,2022-07-17T05:05:00,23
U29631,aplikasi ini sangat bagus dan mudah digunakan,4,2022-04-13T21:15:00,9
U20122,aplikasi bagus banget,5,2022-03-11T20:50:00,14
U51649,kurang oke,2,2022-06-29T08:05:00,8
U75513,tidak sempurna,1,2022-09-20T04:45:00,10
U54902,kurang puas,2,2022-07-10T15:10:00,15
U49168,jelek,1,2022-06-20T17:20:00,23
U94929,aplikasi biasa saja,3,2022-11-26T14:45:00,3
U14147,sangat luar biasa,5,2022-02-19T02:55:00,7
U85778,tidak jelek tapi tidak bagus juga,3,2022-10-25T20:10:00,4
U61039,payah,1,2022-07-31T22:35:00,14
U32183,aplikasi sangat bagus,4,2022-04-22T17:55:00,3
U36942,mudah,4,2022-05-09T06:30:00,14
U1858,tidak ada masalah,4,2022-01-07T10:50:00,12
U91701,tidak istimewa,3,2022-11-15T09:45:00,2
U61456,pelayanan jelek,2,2022-08-02T09:20:00,6
U44210,aplikasi payah,2,2022-06-03T12:10:00,5
U19733,lancar,5,2022-03-10T12:25:00,9
U89919,tidak ada yang istimewa dari aplikasi ini,3,2022-11-09T05:15:00,1
U94616,cepat tapi tampilannya jelek,3,2022-11-25T12:40:00,3
U24804,oke,4,2022-03-28T03:00:00,3
U14537,pelayanan memuaskan,4,2022-02-20T11:25:00,9
U35614,gak ada masalah,4,2022-05-04T15:50:00,8
U22577,lancar sekali,4,2022-03-20T09:25:00,2
U60752,lemot sekali,1,2022-07-30T22:40:00,5
U52298,sangat lambat,2,2022-07-01T14:10:00,13
U79396,aplikasi yang jelek,2,2022-10-03T16:20:00,24
U4871,sangat membantu dan mudah dipakai,4,2022-01-17T21:55:00,14
U84512,standar,3,2022-10-21T10:40:00,0
U67430,buruk sekali sering macet,1,2022-08-23T03:10:00,17
U46503,buruk sekali sering macet,2,2022-06-11T11:15:00,2
U43408,payah,2,2022-05-31T17:20:00,21
U58278,sangat buruk,2,2022-07-22T08:30:00,7
U57599,tampilannya buruk,1,2022-07-19T23:55:00,8
U71113,macet,2,2022-09-04T22:05:00,12
U35084,bagus sekali,4,2022-05-02T19:40:00,1
U24869,recommended,4,2022-03-28T08:25:00,13
U91491,tidak ada yang istimewa dari aplikasi ini,3,2022-11-14T16:15:00,5
U37738,saya suka aplikasi ini bagus,4,2022-05-12T00:50:00,12
U97488,fitur lengkap tapi lambat,3,2022-12-05T12:00:00,2
U48118,aplikasi sampah,1,2022-06-17T01:50:00,22
U57224,tampilannya buruk,1,2022-07-18T16:40:00,5
U37903,aplikasi lancar,5,2022-05-12T14:35:00,15
U57255,aplikasi terburuk yang pernah saya pakai,1,2022-07-18T19:15:00,20
U46321,gagal,2,2022-06-10T20:05:00,3
U27875,keren,4,2022-04-07T18:55:00,11
U79217,bukan aplikasi bagus,1,2022-10-03T01:25:00,22
U72819,bukan aplikasi bagus,2,2022-09-10T20:15:00,17
