userName,score,at,content
Afdhar Yanuar,2,1/21/2026 10:23,"aplikasinya bagus2 aja. cuman sayang bgt ada biaya admin bank yang 6.500. Untuk transfer antar bank itu gede banget, bank lain cuma 2.500 ini 6.500. Selisih nya 4.500!!! Terus juga, harus ada saldo sisa Rp. 50.000. WHAT??!!! Disaat bank lain bisa sampe Rp. 0. ini harus ada sisa saldo Rp. 50.000 BESAR BANGET!!! Saya punya uang 275rb, mau transfer 250rb untuk obat jadi gabisa karena karena harus ada sisa saldo 50rb. PERBAIKI DONG!!"
Mujahid Alja,4,1/5/2026 21:57,"Terdeteksi bahwa aplikasi ""Muamalat DIN"" mogok karena masalahnya sendiri. Harap tunggu pembaruan untuk memperbaiki masalah, atau kirimkan umpan balik melalui saluran layanan pelanggan dalam aplikasi. apalaah ini 4 hari giini muluuu"
hilda sepriya,1,1/28/2026 23:14,"Awal nya coba teryata admin mahal saldo yg mengendap 50k pot bulanan pun juga mahal admin Antar bank mahal ga ada gratis"" nyesek 50.000 buat kaum aku yg mengendap trus admin antar bank mahal 6500 saran ajaa mending hemat pindah bank lain."
Rika Pauziah,1,1/31/2026 5:52,"aplikasi tidak bisa dibuka dengan alasan ""periksa koneksi anda"" padahal jaringan data bagus pake wifi juga bagus tapi aplikasinya gak bisa dibuka"
Nur Indah Handayani,2,1/23/2026 21:11,"Sebentar-sebentar update terus, padahal fiturnya itu-itu aja tidak ada yg berbeda. tolong diperbaiki lagi dong jangan sebentar-sebentar di update teruss"
Ahmad Khairuddin,2,1/23/2026 5:10,"Terlalu banyak update, kalau belum update nggak bisa buka... Susah kalau RAM hp terbatas, saran buat aplikasi yang lite juga supaya tidak banyak update"
Beni,1,3/5/2026 5:22,"eror , saya diarahkan ke pinjol , setelah saya daftar di bank ini , ketika pengajuan sudah dilakukan , login kembali ke bank ini , tiba"" saja terblokir dengan sendiri nya , sementara pengajuan pinjol saya sedang diproses"
Intan Maulida,1,3/2/2026 6:50,"kenapa transaksi antar bank Muamalat gagal terus, padahal ga disuruh update, dan kenapa Muamalat update teruss bisa satu bulan 2kali"
Vanessa Alnasay,1,2/27/2026 10:24,"gajelas bgt aplikasi mobile banking satu ini, sering errornya, csnya juga gak membantu kalo ada kendala, setiap hari error error mulu"
viviii id,1,12/18/2025 9:34,"Nggak bisa dibuka dengan alasan ""periksa koneksi anda"" padahal koneksi bagus. edit: dari bintang 3 ke bintang 1 karena malu²in banget mau transfer dan pembayaran non tunai nggak bisaaa. Padahal koneksi dan semuanya nggak ada masalah"
deny apfriansah,3,2/26/2026 2:07,"daftar rekening-> nama panggilan (opsional) , tapi kalau tidak diisi nama panggilan gak bisa lanjut, jadi mandatory."
Muhammad Jendrizal,1,2/17/2026 0:17,"tolong diperbaiki lagi, aplikasi nya suka terkeluar sendiri. jangan suka membiarkan hal2 kyak gini!! ntar semakin bnyak rating 1"
Raeyza Desmo (Leadermen),1,2/12/2026 9:20,wah gara gara aplikasi ini saya tidak bisa transaksi buat bayar qris alfamart. tolong dong di saat terdesak malah transaksi lama loading terus
Ardiansyah Fahrizaa,1,2/1/2026 11:19,"Aplikasi masih banyak bug, sering gagal login dengan alasan masalah jaringan. pdhal internet lancar tapi masih gagal login aja"
Nurfadilah,3,2/1/2026 3:46,"knp mbangkingnya selalu mau update terus???? penyimpanan jg full, dan sering terkendala update terus apknya"
Syarifah Rasyidah,1,1/23/2026 15:47,Update terusssss. Mbanking gak worth it sama sekali. Gak efektif untuk transaksi. Mohon diperbaiki
Angga Adi Wibowo,5,1/23/2026 13:27,"aplikasi bagus, sebaiknya saat akan melakukan proses transfer cukup dengan pin saja tanpa no tin, usul saja ya"
Ghani Utomo,1,1/17/2026 12:51,"ga bisa dipakai, limit nomor peserta cuma bisa 10 karakter, rekening saya 11 karakter, tolong diperbaiki dong"
Edy Ismael,1,2/2/2026 16:19,"berminggu"" ga bisa buka ini aplikasi, katanya signal, tapi aplikasi"" lainnya ga ada masalah!!!"
Devi Ayu vebriyanti,5,2/2/2026 3:10,aplikasi penuh manfaat... bisa bkin bbrp tabungan skaligus dalam 1 aplikasi jadi bisa manage uang dengan nyaman dan tenang
NURUL HAQ,4,1/23/2026 8:50,"problem: masuk aplikasi, loading lama. solve: uninstall dan install ulang, daftar ulang dan selesai. terimagaji"
Fitri Imelda,1,12/14/2025 15:39,saya penggunaan Muamalat sudah 1 tahun dan mungkin mengalami beberapa perubahan dalam fitur ini. namun yang saya sangat sayangkan saat ini nominal saldo untuk Muamalat minimal rp50.000 yang awalnya hanya 35000 dan itu sangat berat bagi saya. sedikit saran dari saya jika ingin ditambahkan untuk nominal saldo lebih baik untuk pengguna baru yang memang sudah memberikan akad diawal sehingga saat ini saya sudah tidak menggunakan Muamalat lagi dan beralih kepada bank lain.
_Agil _99_,2,1/7/2026 9:24,"aplikasi sering keluar sendiri, dan susah dibuka tanpa keterangan, padahal sinyal bagus"
magdalena Helda Sena,4,10/22/2025 5:03,"bismillah...saya sudah lama jadi nasabah Muamalat sejak awal hadir dipangkalpinang Bangka Belitung.. Alhamdulillah pelayanan nya baik,sedikit ulasan terkait aplikasi sekarang kok sering terjadi sperti saat mau buka aplikasi tiba² dr hp ada pesan "" terdeteksi Muamalat din crash karena alasan sendiri"" dan aplikasi tidak terbuka dan langsung hilang,sudah sya laporkan ke bank dan solusi saya download ulang..awalny sya pikir aplikasi minta updet ternyata bukan..status diplaystore nya tidak ada"
Imam Mochamad,4,12/13/2025 10:45,"Pernah coba reset HP, aku kira aku akan kehilangan akses, ternyata masih bisa login. Rekomend banget buat rekening secara online di bank ini. Karena dulu pernah buat akun bank ijo kuning, setelah reset HP tidak bisa login lagi dan terpaksa saya datang ke kantor cabang"
Muhammad Akmal,1,10/10/2025 4:23,"tolong dong muamalat, sistem pembayaran nya dibenerin dlu, saya sdh 2x kehilangan uang 300k untuk CO barang di tiktok lewat pembayaran Qris, aneh nya ketika pembayaran sistem nya bilang waktu sudah habis, tapi saldo nya berkurang & ketika mengecek lgsg ke tiktok shop nya status nya ""masih menunggu pembayaran"" semoga ada tindak lanjut setelah ini"
Febriansyah,1,12/14/2025 13:33,"saya semalem lupa pin TIN langsung di blokir saya masukan pasword jga salah katanya sekarang saya ga bisa transaksi melalui m banking lagi . uda di chat callcenter nya melalui nomer whatsapp yang tertera, bukan ngasih info cara buka mbanking, mala disuruh daftar ulang di cabang bank terdekat nya, mending pindah aja deh ke BRI atau BCA ga ribet praktis mala."
RaDu,3,12/16/2025 16:00,Tidak bisa ganti password. Informasi pergantian password berhasil disimpan namun saat login kembali ternyata masih menggunakan password lama. Solusinya bagaimana yaa? Terima kasih.
Agus Widodo,4,12/10/2025 10:40,Mohon untuk di perbaharui lagi sistem nya punya saya selalu ga bisa masuk padahal sudah update terbaru tetep kesulitan untuk masuk
Widiyani Puspita,1,11/20/2025 2:56,"Sangat sangat tidak rekomendasi mbanking bank ini, mau login sulit sekali. padahal sudah update, sudah coba menggunakan wifi atau data pun tetap tidak bisa. Tolong diperbaiki, kalau begini sih mendingan pindah bank saja 👎"
khansa almaratu fadila,2,2/9/2026 11:23,"sering error, disuruh periksa koneksi padahal koneksi bagus bagus aja"
nyasar asyik,1,11/19/2025 6:15,kenapa aplikasi Muamalat Din tidak dapat mencetak ulang bukti/transaksi transfer yang sebelumnya tidak sempat kita screenshoot ? padahal ini penting banget daripada menu2 yg sering d update d aplikasi yg tidak begitu dipakai oleh pengguna. tolong tambahkan menu riview struk transaksi detail seperti bank bank lainnya. dan 1 lagi kenapa cetak atau download rekap mutasi aja dikenakan biaya 2.500 ini sangat merugikan seharusnya cetak download transaksi itu layanan gratis. terimakasih
Akana Taki,1,1/23/2026 7:48,"tolong donk... jangan selalu minta kali utk update aplikasi, memory kami terbatas, harus hapus lagi ini itu, kesal jadinya."
Cpraja Hartata,2,2/7/2026 2:49,"kok sering error ga muncul dan ga bs buka aplikasi ya,"
rauf Lany,1,12/14/2025 9:41,"login nya susah, udah telepon CS 3x (nama CSnya: Mahmud) susah banget... ada ajah kendalanya. ngabisin pulsa... sumpah Demi Allah tidak rekomendasi banget ini Bank. ada sich yg terbaik di Aplikasi ini yaitu ada jadwal sholatnya..."
Ardhan Aditya,2,3/5/2026 4:24,kok punya saya nggak bisa transaksi. padahal saldo cukup. tapi keteranganya saldo tidak cukup
Anas,1,1/12/2026 15:38,"apk aneh gak bisa login, mau login lupa pin, dipencet malah suruh daftat anehh"
Nunu Nugraha,1,1/5/2026 9:16,kecewa dengan operator services Center...kacau ini bank..gak ngasih solusi main tutup saja tlp nya..dasar bank yg sebentar lagi Bangkrut
Umar Wira,1,1/5/2026 10:52,"kenapa aplikasi gak bisa di buka, padahal sudah update, terjadi force close terus"
Fajriyatul Islamiah,2,1/11/2026 1:18,"error mulu kalo mau dibuka gabisa, udah uninstall dan reinstall ttp aja begitu terus"
Erna Rita wati,2,12/7/2025 13:58,"kenapa aplikasi tidak bisa masuk pas di buka langsung keluar? saya mau tarik di ATM tapi katanya error, mau transfer lewat ATM juga tidak bisa katanya error padahal gaji saya masuknya lewat Muamalat gimana mau menggunakan uang kalau tidak bisa di ambil"
Manarul Hidayat,4,10/7/2025 0:24,Update terakhir MuamalatDin sya loading trus ketika buka App dan saat mau login kaya yg ga ada sinyal Padahal versi sebelumnya ga ada kendala **Update terakhir per hari ini Alhamdulillah tidak ada kendala sperti updatan versi sebelum nya Mohon lebih di tingkatkan lagi
Den Baong,1,9/29/2025 11:25,WOY parah bener ni apk. ga sengaja hapus data. mau login lagi malah harus ke cabang.. apa ga bisa di tingkatkan LG untuk pelayanan nya.. layanan bebas pulsa misalkan. atau sistem perbaikan di mesin ATM nya. masalah dikit aja harus ke cabang. risih ada notif iklan ga jelas dari aplikasi Muamalat. niatnya mau nonaktifkan notifikasi. eh ga sengaja malah hapus data.. jadi aja susah LG untuk masuk. . Bank lain bisa ko permasalahan begini bisa di tangani di mesin atmnya ga selalu apa hrs k cbng
kamal frank,1,12/3/2025 8:59,"aplikasi buka tutup sendiri, gak jelas, dan ini masalah sdh sejak tahun lalu tapi ga ada niat memperbaiki pelayanan, sudah tanya ke pihak bank langsung mereka cuma kasih saran ""oiya pak, bisa diulangi lagi log-in nya ya pak"", padahal sdh 20x login masih trouble, problem solvernya diganti aja kalo ga mampu perbaiki keluhan konsumen.😂"
Zidan Izzatullah,1,11/9/2025 15:40,"tolong dong di perbaiki, awal saya masuk aplikasi tiba tiba langsung keluar sendiri, udh sangat sering dan momennya ketika lagi urgent, tolong di perbaiki, buat saya sangat tidak nyaman menggunakan mbangking ini"
Waryono Yono,2,11/14/2025 5:00,ini aplikasi muamalat nya seharus nya dikasih menu tarik tunai tanpa kartu di mesin atm muamalat nya supaya gratis tarik tunai sesama bank mualamat menu nya cuman tarik tunai indomaret sj gk ada menu tarik tunai tanpa kartu di atm muamalat payah kurang lengkap menu tarik tunai nya tolong di respon yah bank muamalat kalah sama bank bsi fitur nya lebih lengkap
bibilnala,2,10/26/2025 12:56,"mau masuk gabisa terus harus registrasi dan ada keterangan terus ""ditolak, format salah"" padahal udah dicoba terus tetep sama aja gabisa masuk, padahal udah coba ke kantor cabang"
suhanda aming,3,11/17/2025 10:24,"Assalamualaikum , kami sampaikan sejak aplikasi diperbarui sy malah sulit membuka mbankingnya, harus daftar lagi, itupun ga bisa2 padahal selama ini gak ada masalah"
Aniy Honey,3,11/18/2025 12:04,"Selama pake Muamalat din udah ngerasain akun keblokir sampai 2x untung bisa dibalikin, awal nyoba ngirim ke e walet admin 500 perak, pas ngirim antar bank admin 6.500.. buset lumayan buat ku, apalagi aku sering buat transfer antar bank kan ibaratnya.. apk bank syariah yg worth it mana si ya😭"
iing dzaki,2,11/4/2025 15:38,"Maaf banget, Kenapa seribet itu sih buat pindah device?? saya tau itu untuk menjaga, tapi jujur ini KELEWAT RIBET BANGET. Masa gitu doang harus ke bank langsung? Kl gak ke bank, harus telepon yang mana itu butuh pulsa? kan gak semua orang sedia pulsa di tengah yg apa2 udah serba internet. Kenapa gak diatur lewat WA aja?? atau apa kek yg bisa diakses dg internet atau kl apknya diapus atau logout dr device tsb, bisa lah login di device lain kek m-banking lain tuh. Gasuka bgt dah asli."
Nurhaida Lubis,1,1/23/2026 7:42,Gak bisa daftar karena account email empty. Tp gak ada kolom untuk isi email
Rahmalia Mahdini,1,2/14/2026 6:02,"bank jelek, password udah bener malah di tolak dan ke blokir. sering banget ke blokir padahal gak salah masukin pin atau password"
Aliiya Rakhmi,1,10/30/2025 9:25,"tolong di perbaiki lagi untuk loginnya suka eror dan keluar sendiri,jd saat ingin menggunakan qris mbanking suka eror sendiri dan itu menyusahkan sekali bagi saya yg suka transaksi menggunakan qris"
Yunus Uzair,3,10/23/2025 5:38,"dana impian nya tolong di perbaiki lagi,di tengah jalan tiba tiba pas mau ngirim nggak kena, tulisan nya salah no rekening, mohon di perbaiki lagi ya......🙂🙏"
Astrid Motota,1,1/18/2026 5:56,"sering sekali tidak bisa dibuka aplikasinya, ketika lagi perlu malah tidak bisa dipakai."
Bandi,1,11/5/2025 0:33,"beberapa bulan belakangan aplikasi sulit digunakan, saat dibuka langsung keluar sendiri sehingga tidak bisa melakukan transaksi. harap dari tim Muamalat segera melakukan perbaikan"
Muhammad Alkhasany,1,1/8/2026 15:04,"susah login padahal username dan sandi bener,harus restart beberapa kali baru bisa..."
Bismo Agung,5,12/2/2025 10:02,"Saya salah satu pengguna M-DIN, aplikasinya mudah digunakan fleksibel, semua fitur ada di M-DIN, pembukaan rekening pun sangat mudah sekali"
ayesha hifzhatunnisa,5,2/13/2026 9:59,saat sy registrasi kenapa selalu muncul account email empty?
Aisyah Kinanti,3,12/11/2025 3:27,"selama tiga pekan ini sedang ada kendala, sulit buka aplikasi, selalu keluar terus, perlu beberapa kali usaha untuk membuka."
Adi Hadi,2,1/11/2026 15:12,"Tolong lah perbaiki APK ini udah tahun 2026 loh masa gaada update sih saya nyimpen uang di muamalat udh 1 tahun masa masih suka ngebug apk nya, TOLONG PERBAIKI APK INI SUPAYA LEBIH MAJU"
Syumar Ahmad,2,12/8/2025 21:49,"semenjak di update, tiba2 gak bisa di buka.... harus un install kemudian install ulang lagi.... merepotkan..,.. dan sampe sekarang gak ada perubahan..... menyebalkan"
deni uthe,1,12/30/2025 2:41,"aplikasi jahat. susah ribet ada tin maksudnya apa coba, terblokir. ga ada info minimal saldo berapa yg mengendap. kembalikan uang saya 20rb. sya tagih nanti di akherat kamu."
alfarizi ahha,1,12/14/2025 13:57,"saya kesalahan kata sandi saat login, dan di blokir, menu buka blokir tidak fungsi, semoga menjadi lebih baik"
Mehmed El Kamil,3,12/20/2025 4:47,"Sekarang kok setiap di buka balik sendiri ingat tidak ada masalah update, penyimpanan dll. tolong di perbaiki"
Wildan D. adisatya,1,12/4/2025 23:58,"tolong perbaiki aplikasi ini, saya mempunyai masalah dimana aplikasi selalu force close ketika awal dibuka, dan saya harus selalu menginstal ulang untuk menggunakannya kembali"
Ari Arsya,1,1/9/2026 11:39,aplikasinya sering nda bisa di buka padahal pas lagi butuh-butuhnya
Ghema Addy,1,2/28/2026 22:58,ribet pindah hp tapi susah masuk 0adahal hp yang satinya da di setelpabrik tapi di sini mau tertaut ke perangkat lain
Fir Saja,2,9/29/2025 23:36,"sy kasih bintang 2 dulu, habis reset total hp trus mau login ga bisa. tolong perbaiki aplikasinya supaya log in dipermudah seperti aplikasi bank sebelah"
Achmad Chairudin,5,1/1/2026 13:55,Mudah Daftarnya Tidak Perlu Video Call Karena Sudah Verifikasi Wajah.....
Dewi Sri,1,12/6/2025 1:30,aneh aplikasinya. selalu logout sendiri. tolong agar menjadi perhatian! sudah beberapa kali hubungi CS. sama aja tetep gk bisa payahhhhh.....
rida farida,3,10/25/2025 14:36,"ada apa dengan Muamalat ga bisa melakukan transfer keluar baik Muamalat atau ke bank lain , dan juga ga bisa terima transfer dari bank Muamalat lain. kenapa ini ada apa dengan bank Muamalat mohon informasinya. terimakasih"
Novia,1,12/7/2025 3:20,"susah mau login, aplikasi keluar sendiri, sdah lbih 3kali instal uninstal tpi mash susah juga, terpaksa pindah dana ke bank lain, susah tran saksi"
Syaeful Bakhri,1,12/6/2025 0:07,"gimana ini udah sebulan lebih aplikasi nya ga bisa dipake terus, connection error terus... ngecek saldo pun ga bisa2"
Eli Vristiawan,5,1/23/2026 1:18,Terima kasih krn sudah diperbaiki bug nya
adi kurniawan,1,1/14/2026 5:46,luar biasa parah aplikasi ini mau buka cek rekening aja keluar² sendiri terus
MATA PERJALANAN,3,2/27/2026 11:14,baru juga make udh aneh aneh gimana mau bener apknya aja blm syari kekk gini 😭😂
Rury Permana,1,1/13/2026 3:14,"aplikasi tiap bulan update mulu, tapi masih aja lemot. sampah banget"
Radhiyah F,2,1/4/2026 1:01,tidak efesien sering keluar sendiri bahkan tidak bisa masuk ke akun
Ilham Pratama,2,2/27/2026 9:33,"Aplikasi nya tolong segera di maintenance, muter² terus"
Seria Oktaviani,1,3/5/2026 8:16,dari kemarin aplikasi Bank Muamalat lelet padahal mau lihat saldo. kenapa lelet sekali. dan masih mutar² kakak. tetap gak bisa capek saya ulang². apakah saya harus ke pusatnya ini. kakak ini bagaimana. apa yang harus saya lakukan. apakah akun saya terblokir atau bagaimana. sudah seminggu ini kakak.
MASHTER SOEDARSONO,3,12/27/2025 0:58,"Setelah update saya tidak bisa masuk, dan ada keterangan gagal log in. mohon diperbaiki"
Hana Mumtahanah,2,12/11/2025 8:48,"tolong perbaiki dong masa saya baru update aplikasinya kemarin sekarang kalau mau masuk kelempar terus keluar harus matiin HP dulu baru bisa buka, masa kaya gitu terus"
Putri Winarsih,5,12/22/2025 8:15,"sangat membantu dalam aktivitas ku, mau request kalau bisa ditambahkan fitur al quran gitu biar lengkap"
Pakde Tukangurut,5,12/17/2025 3:58,"kenapa bintang nya hanya 5 andai bisa di beri bintang 1000 aku kasih, baru Nemu aplikasi bank syariah yang bener bener, daftarnya jg ngak ribet"
Hamdan Hidayat,1,12/12/2025 5:05,"jengkel skali saya sama aplikasi ini gak bisa masuk tiba2 kluar sendiri, padah sudah update otomatis"
